DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Herpes Gestationis,"Subepidermal bulla, sometimes with spongiosis. Perivascular lymphocytes and eosinophils. DIF-IgG and C3 at DEJ.C3 in 100%, IgG in 50%.",Bullous Pemphigoid,Linear IgA Bullous Dermatosis,,Pruritic Urticarial Papules And Plaques Of Pregnanc
Herpetic Folliculitis,"Ballooning degeneration of follicular keratinocytes. Multi nucleation, molding and margination of chromatin. Predominantly neutrophilic or mixed inflammatory infiltrate.",Suppurative Folliculitis,Majocchi's Granuloma,Fungal Folliculitis,
Heterotopic Glial Tissue,Well circumscribed dermal nodule composed of astrocytes within a loose neurofibrillary stroma. Astrocytes stain with GFAP.,Ganglioneuroma,Meningioma,Dermoid Cyst,
Hidradenitis Suppurativa,Dense suppurative and granulomatous inflammation in lower half of the dermis and subcutaneous fat. Sinus tracts containing inflammatory debris may open to the surface. Abscesses within apocrine glands. Destruction of pilosebaceous follicles and sweat glands may be seen with dermal scarring.,Ruptured Epidermal Inclusion Cyst,Pilonidal Cyst,Atypical Mycobacterial Infection,Deep Fungal Infection
Hidradenocarcinoma,"Solid and cystic nodules of polygonal cells with focal areas of duct differentiation.  Individual cells show nuclear pleomorphism and atypical mitosis. Areas of necrosis, hemorrhage. Infiltrative borders, lymphovascular and perineural invasion.",Porocarcinoma,Trichilemmal Carcinoma,Sebaceous Carcinoma,Syringoid Eccrine Carcinoma
Hidradenoma,Well circumscribed nodular proliferation in dermis and/or subcutis. Nodules show a solid and cystic configuration and are composed of small squamoid cells that appear polyhedral to fusiform. Foci of extensive clear cell changes may be present. Duct formation and squamous metaplasia common. Hyalinized stroma.,Poroma,Dermal Duct Tumor,Squamous Cell Carcinoma,Spiradenoma
Hidradenoma Papilliferum,Well circumscribed dermal lesion composed of densely packed glands with papillary projections into cystic lumina. Glands lined by double layer of cells-inner tall columnar with eosinophilic cytoplasm and outer layer of myoepithelial cells. Decapitate secretions within lumen. No plasma cells.,Syringocystadenoma Papilliferum,Tubular Apocrine Adenoma,Tubular Eccrine Adenoma,
Histiocytoid Hemangioma,Well defined non-encapsulated proliferation of blood vessels with prominent endothelial cells in a background of eosinophils and rarely lymphoid aggregates.,Tufted Angioma,Angiolymphoid Hyperplasia With Eosinophils,Intravascular Papillary Endothelial Hyperplasia,
Histoid Leprosy,Nodular proliferation of spindled cells with some polygonal cells. Many organisms within these cells seen with Fite stain. Admixed foamy macrophages may be present.,Dermatofibroma,Sarcoidosis,Leishmaniasis,Secondary Syphilis
Histoplasma Capsulatum,"Intracellular cysts (2-4 microns), evenly distributed and surrounded by pseudocapsule in a background of granulomatous inflammation.",Leishmaniasis,Rhinoscleroma,Cryptococcus,Penicillium Marnefii
Histoplasma Duboisii,Large intracellular organisms(8-15 microns) in histiocytes and multinucleated giant cells in a background of granulomatous dermatitis.,Blastomycosis,Cryptococcus,Lobomycosis,Coccidiodomycosis
HIV-Associated Eosinophilic Folliculitis,Spongiosis of follicular infundibulum  with predominant eosinophilic infiltrate both intrafollicular and within the dermis.,Ofuji Disease,Eosinophilic Pustular Folliculitis Of Infancy,,
Hydroa Vacciniforme Like Lymphoma,"Intraepidermal vesicles with ballooning of keratinocytes and focal necrosis and neutrophils. Vesicles contain serum, degenerated keratinocytes, lymphocytes and neutrophils.  Papillary dermal edema, sometimes leading to subepidermal spilt. Superficial perivascular lymphocytic infiltrate with neutrophils and occasionally eosinophils.  Watch for atypical cells - some are lymphoma.",NK-T Cell Lymphoma,Orf,Angioimmunoblastic T Cell Lymphoma,Lymphomatoid Granulomatosis
Hypereosinophilic Syndrome,"Superficial and deep perivascular infiltrate in dermis and subcutis, predominantly composed of eosinophils with admixed lymphocytes, plasma cells and mast cells. Dermal edema. Thrombosis of vessels occasionally.",Wells Syndrome,Churg-Strauss Syndrome,Arthropod Bite,Drug Eruption
Hyperkeratotic Actinic Keratosis,"Actinic keratosis with prominent hyperkeratosis, producing clinical impression of cutaneous horn.",Squamous Cell Carcinoma,Hyperkeratotic Seborrheic Keratosis,Verruca Vulgaris,Seborrheic Keratosis
Hypertrophic Actinic Keratosis,Acanthotic epidermis with papillomatosis sometimes. Crowding and atypia of keratinocytes in lower layers of the epidermis. Flag sign-overlying parakeratosis with alternating hyperkeratosis (overlying follicular infundibulum).,Hypertrophic Seborrheic Keratosis,Hyperkeratotic Seborrheic Keratosis,Bowen's Disease,
Hypertrophic Lichen Planus,"Hyperkeratosis with occasional parakeratosis. Epidermis shows irregular acanthosis with hypergranulosis. Dense to moderate lichenoid infiltrate at DEJ, often with admixed civatte bodies and melanophages. Dermal fibrosis.",Lichen Simplex Chronicus,Squamous Cell Carcinoma,Hypertrophic Lupus Erythematosus,
Hypertrophic Lupus Erythematosus,Marked acanthosis and hyperkeratosis of epidermis. Lichenoid interface dermatitis. Follicular plugging. Perivascular and periadnexal lymphocytic infiltrate. Dermal mucin. Direct IF and serology helpful.,Hypertrophic Lichen Planus,Squamous Cell Carcinoma,Halogenoderma,
Hypertrophic Scar,Nodular proliferation of fibroblastic proliferation in east west direction with loss of adnexal structures and elastic fibers. Blood vessels perpendicular to surface with mild perivascular lymphocytic infiltrate.,Scar,Keloid,Dermatofibroma,Desmoplastic Melanoma
Hypomelanosis Of Ito,Decreased melanocytes and melanin in basal layer. Electron Microscopy-decreased melanosomes and some melanocytes with no melanosomes.,Post Inflammatory Pigment Alteration,Incontinentia Pigmenti,Vitiligo,
Hypopigmented Mycosis Fungoides,Epidermotropism in association with lichenoid and superficial perivascular lymphocytic infiltrate. Marked pigment incontinence. MF phenotype on immunohistochemistry. Sometimes CD8 predominant population.,Allergic Contact Dermatitis,Primary Cutaneous CD8 Aggressive Cytotoxic T Cell L ymphoma,Secondary Syphilis,
Id Reaction,Spongiosis within the epidermis with overlying hyperkeratosis and focal parakeratosis. Mild superficial perivascular infiltrate in dermis.,Allergic Contact Dermatitis,Irritant Contact Dermatitis,Dyshidrotic Eczema,Nummular Eczema
Idiopathic Gutate Hypomelanosis,Decreased (but not absent) melanocytes in sharply demarcated area. Reduced melanin pigment in basal layer. Epidermis may show atrophic changes with overlying basket-weave hyperkeratosis.,Vitiligo,Post Inflammatory Pigment Alteration,Ash Leaf Spots Of Tuberous Sclerosis,Tinea Versicolor
"IgA  Pemphigus, Intraepidermal Neutrophilic Variant",Intraepidermal neutrophilic abscesses. Acantholytic intraepidermal blister in suprabasal location with neutrophils and acantholytic keratinocytes. Papillary dermal edema. Perivascular lymphocytes and neutrophils. DIF-intracellular IgA in epidermis.,Subcorneal Pustular Dermatosis,Bullous Impetigo,Herpes,
"IgA Pemphigus, Subcorneal Pustular Dermatosis  Variant",Subcorneal neutrophilic abscesses. Acantholytic intraepidermal blister in subcorneal location with neutrophils and acantholytic keratinocytes. Papillary dermal edema. Perivascular lymphocytes and neutrophils. DIF-intracellular IgA in epidermis.,Pustular Psoriasis,Bullous Impetigo,Subcorneal Pustular Dermatosis,
Immunocytoma,Variant of cutaneous marginal zone lymphoma mostly seen in Europe and related to Borrelial infection.  Sheets of plasmacytoid B cells with Dutcher bodies.,"Primary Cutaneous Follicular Center Cell Lymphoma, Follicular Type",Reactive Lymphoid Infiltrate,Primary Cutaneous CD4 Positive Small-Medium T Cell Lymphoma,Arthropod Bite
Impetiginized Eczema,"Intraepidermal spongiotic vesiculation with surrounding spongiosis. Overlying hyperkeratosis, parakeratosis and scale crust. Variable superficial perivascular lymphocytic infiltrate with neutrophils.",Allergic Contact Dermatitis,Nummular Eczema,Subacute-Chronic Eczematous Dermatitis,Dyshidrotic Eczema
Impetigo,Subcorneal pustules with neutrophils and rare acantholytic cells. Superficial perivascular lymphocytic infiltrate. Gram positive cocci may be found in the pustule.,Staphylococcal Scalded Skin Syndrome,Pempigus Foiaceus,Pustular Psoriasis,
Impetigo Of Bockhart,Subcorneal pustules with neutrophils and rare acantholytic cells. Superficial perivascular lymphocytic infiltrate. Gram positive cocci may be found in the pustule.,Infundibulofolliculitis,Suppurative Folliculitis,Eosinophilic Folliculitis,
Incontinentia Pigmenti,Vesiculobullous stage: Eosinophilic spongiosis progressing to vesiculation.  Scattered dyskeratotic keratinocytes.  Associated with mutations in NEMO.,Erythema Toxicum Neonatarum,Drug Eruption,Subungal Keratoacanthoma,
Indeterminate Cell Histiocytosis,"Monomorphous infiltrate of histiocytes with admixed lymphocytes. Cells positive for S100, CD1a, and CD68. No Birbeck granules on electron microscopy.",Langerhan Cell Histiocytosis,Rosai-Dorfman Disease,Benign Cephalic Histiocytosis,
Indeterminate Leprosy,Perivascular and/or perineural mild lymphohistiocytic inflammation. Few to no Fite positive microorganisms seen.,Lyme Disease,Secondary Syphilis,Viral Exanthem,
Infantile Acropustulosis,Subcorneal epidermal abscesses. Mild spongiosis. Mixed infiltrate in dermis with neutrophils.,Erythema Toxicum Neonatarum ,Transient Neonatal Pustular Melanosis,Candidosis,
Infantile Acute Hemorrhagic Edema,Leukocytoclastic vasculitis in newborn or children less than 3 years old.,Henoch Schonlein Purpura,Drug Eruption,Septic Vasculitis,Leukocytoclastic Vasculitis
Infantile Digital Fibromatosis,"Also known as Inclusion body myositis. Interlacing fascicles of uniform spindle cells and collagen. Characteristic cytoplasmic eosinophilic inclusions in a paranuclear location. Inclusions stain deep red with Masson Trichrome, purple with PTAH.",Scar,Dermatofibroma,Plantar Fibromatosis,Nodular Fasciitis
Infantile Hemangioma,Proliferation of capillaries with tiny luminal and plump endothelial cells and pericytes with abundant cytoplasm and enlarged nuclei. Capillaries arranged in delicately defined lobules separated by thin fibrous septa. Large number of mast cells. Numerous mitotic figures. GLUT1 positive.,Pyogenic Granuloma,Tufted Angioma,Kaposiform Hemangioendothelioma,Arteriovenous Hemangioma
Infectious Mononucleosis,Mild spongiosis with focal parakeratosis. Superficial perivascular lymphocytic infiltrate. Scattered atypical lymphocytes within infiltrate.,Cytomegalovirus,Toxoplasmosis,Drug Eruption,Tularemia
Infective Panniculitis,"Lobular/septal panniculitis with neutrophilic and granulomatous infiltration, abscess formation, hemorrhage, vasculitis and necrosis. ",Factitial Panniculitis,Cytophagic Histiocytic Panniculitis,"Subcutaneous Panniculitis-Like T Cell Lymphoma, Alpha-beta Type",Lupus Profundus
Infiltrative Basal Cell Carcinoma,"Spiky islands, cords and columns of basaloid cells infiltrate the dermis. No palisading or clefting. Fibroblast-rich stroma.",Desmoplastic Trichopethelioma,Microcystic Adnexal Carcinoma,Syringoma,
Inflammatory Linear Verrucous Epidermal Nevus,Psoriasiform hyperplasia and papillomatosis. Alternating orthokeratosis and parakeratosis. Loss of granular layer under the parakeratosis. Superficial perivascular lymphohistiocytic infiltrate.,Psoriasis,Subacute-Chronic Eczematous Dermatitis,Verruca Vulgaris,Pityriasis Rubra Pilaris
Infudibulofolliculitis,"Follicular spongiosis with variable follicular plugging and overlying parakeratosis. 
Perifollicular lymphocytic infiltrate.",Miliaria Crystallina,"Follicular Eczema, Including Atopic Patients",,
Ink Spot Lentigo,Mild increase in finely dendritic melanocytes with increased melanin in basal layer restricted to tips of rete ridges.,Lentigo Simplex,Post Inflammatory Pigment Alteration,Junctional Nevus,
Interstitial And Granulomatous Dermatitis,"Superficial and deep perivascular and interstitial lymphocytic infiltrate. Interstitial histiocytes, some in palisaded array around necrobiotic foci. Admixed eosinophils and neutrophils common. Inflammation may extend into subcutaneous fat.",Rheumatoid Nodule,Necrobiosis Lipoidica Diabeticorum,Interstitial Granuloma Annulare,Palisaded And Neutrophilic Granulomatous Dermatitis
Interstitial Granuloma Annulare,"Dermis appears disorganized with occasional swollen, haphazardly arranged collagen bundles and mucin in between the collagen bundles. A diffuse interstitial infiltrate of macrophages is noted along with perivascular lymphocytes.",Actinic Granuloma Of O'Brien,Necrobiosis Lipoidica Diabeticorum,Drug Eruption,
Interstitial Granulomatous Dermatitis With Arthritis,"Superficial and deep perivascular and interstitial lymphocytic infiltrate. Interstitial histiocytes, some in palisaded array around necrobiotic foci. Admixed eosinophils and neutrophils common. Inflammation may extend into subcutaneous fat.",Interstitial Granuloma Annulare,Necrobiosis Lipoidica Diabeticorum,Palisaded And Neutrophilic Granulomatous Dermatitis,Interstitial Granulomatous Drug Eruption
Interstitial Granulomatous Drug Eruption,Busy dermis showing a diffuse interstitial infiltrate of macrophages and lymphocytes with occasional eosinophils. Mild lichenoid infiltrate with vacuolar changes and admixed dyskeratotic cells.,Interstitial Granuloma Annulare,Rheumatoid Nodule,Necrobiosis Lipoidica Diabeticorum,Palisaded And Neutrophilic Granulomatous Dermatitis
Intradermal Nevus,"Symmetrical, well circumscribed proliferation of melanocytes predominantly  within the dermis, mostly as nests in the superficial component. Good maturation with dispersion at base as single cells. No mitosis.",Solitary Mastocytosis,Basal Cell Carcinoma,Combined Nevus,
Intradermal Spitz Nevus,"Dermal proliferation of epithelioid melanocytes splaying collagen fibers, well circumscribed. No junctional/epidermal component. Good maturation and dispersion.",Cellular Blue Nevus,Reticulohistiocytoma,Epithelioid Cell Histiocytoma,
Intravascular B Cell Lymphoma,"Dense balls of mononuclear cells within blood vessels of dermis and/or subcutaneous tissue. Large hyperchromatic lymphocytes with round to irregular nuclei. CD19, CD20, CD79a, PAX5 +. Variable CD5.",Reactive Angioendotheliomatosis,Cytomegalovirus,Angioimmunoblastic T Cell Lymphoma,
Intravascular Papillary Endothelial Hyperplasia,Also known as Masson's tumor. Numerous papillary projections of loose connective tissue lined by endothelial cells within a vascular structure. No atypia or necrosis.,Angiosarcoma,Glomeruloid Hemangioma,Endovascular Papillary Angioendothelioma,Tufted Angioma
Inverted Follicular Keratosis,"Endophytic proliferation of squamous epithelium and basaloid cells with finger like projections into the dermis. Squamous eddies characteristically present, especially at base.   Mild lymphohistiocytic infiltrate in dermis.",Seborrheic Keratosis,Squamous Cell Carcinoma,Trichilemmoma,Verruca Vulgaris
Irritant Contact Dermatitis,"Spongiotic epidermis with vesiculation, ballooning changes within keratinocytes often with focal necrosis. Superficial perivascular infiltrate composed of lymphocytes and neutrophils.",Allergic Contact Dermatitis,Id Reaction,Dermatophytosis,Phototoxic Drug Reaction
Jessner Lymphocytic Infiltrate,Moderate to dense superficial and mid-dermal perivascular lymphocytic infiltrate with admixed histiocytes and plasma cells. Perifollicular component may be present. No epidermal changes.  Most are probably LE.,Lupus Erythematosus,Reactive Lymphoid Infiltrate,Primary Cutaneous CD4 Positive Small-Medium T Cell Lymphoma,
Junctional Melanocytic Nevus,Round to oval melanocytic nests at DEJ limited to tips and sides of rete ridges. No atypical features.,Dysplastic Nevus with Mild Atypia,Spindle Cell Nevus Of Reed,Lentigo Maligna,
Junctional Melanocytic Nevus Of Nail,Lentiginous pattern of melanocyte proliferation at dermal-epidermal junction with predominant nests.,Melanoma In Situ Of Nail,Lentigo Simplex,Freckle,
Juvenile Colloid Milium,"Amorphous, pale, pink, fissured deposits within the dermis. No grenz zone present. Epidermal atrophy and solar elastosis common.",Lichen Amyloidosis,Solar Elastosis,Lipoid Proteinosis,
Juvenile Hyaline Fibromatosis,"Poorly circumscribed hypocellular lesion. Bland appearing fibroblast are separated by bands of homogenous, glassy hyaline material.",Infantile Fibromatosis,Keloid,Hypertrophic Scar,Morphea
Kaposi Sarcoma,PATCH STAGE: Perivascular lymphoplasmacytic infiltrate and proliferation of small and irregularly shaped vessels surrounding ectatic dermal vessels. TUMOR STAGE: Proliferation of interlacing bundles of spindle cells in a background of hemorrhage. Slit like vascular channels. Promontory sign-small blood vessels and stroma project into vascular space. Scattered plasma cells and hyaline globules(degenerated red cells). Positive staining with HHV8.,Aneuyrsmal Dermatofibroma,Spindle Cell Hemangioma,Kaposiform Hemangioendothelioma,Acroangiodermatitis
Kaposiform Hemangioendothelioma,Has overlapping features of  tufted Hemangioma and Kaposi sarcoma. Composed of ill defined nodules of small round capillaries and solid nests of proliferating endothelial cells separated by fibrous stroma. Within the nodules spindle cells are also seen that run in fascicles and show slit like vessels in between along with hemorrhage and thrombi. The spindled endothelial proliferation has limited atypia and low mitotic activity.,Tufted Angioma,Kaposi Sarcoma,Pyogenic Granuloma,Reactive Angioendotheliomatosis
Kawasaki Disease,Severe edema of papillary dermis. Vascular dilation and endothelial cell swelling. Superficial perivascular lymphocytic infiltrate.,Gianotti-Crosti Syndrome,Erythema Multiforme,Rocky Mountain Spotted Fever,Viral Exanthem
Keloid,Brightly eosinophilic broad collagen bundles in haphazard array in a background of scar.,Hypertrophic Scar,Dermatofibroma,Scleredema,Desmoplastic Melanoma
Keratoacanthoma,"Squamous cell carcinoma with crateriform architecture, glassy atypia, neutrophilic microabscesses, eosinophils, and elastic trapping.  May grow rapidly, then involute.  Acantholysis never present.",Well Differentiated Squamous Cell Cacinoma,Irritated Seborrheic Keratosis,Verruca Vulgaris,Epidermal Inclusion Cyst
Keratoderma Climactericum,"Massive hyperkeratosis, hypergranulosis and acanthosis in association with spongiosis within the epidermis. Superficial perivascular lymphocytic infiltrate with exocytosis. Dermal fibrosis.",Palmarplantar Keratoderma,Acrokeratoelastoidosis,Punctate Pamarplantar Keratoderma,
Kikuchi Disease,Interface dermatitis in association with a superficial and deep perivascular lymphohistiocytic  infiltrate and  karyorrhectic debris. Papillary dermal edema may be noted. Neutrophils are conscipicously absent.,Leukocytoclastic Vasculitis,Drug Eruption,Sweet's Syndrome,
Kyrle's Disease,Hyperkeratotic plug containing degenerated material associated with follicular orifice or with follicle and surrounding epidermis. Overlying parakeratosis. Dyskeratotic keratinocytes. Variable elastic fibers or collagen within plug. No increase in elastic fibers in dermis.,Elastosis Perforans Serpiginosa,Reactive Perforating Collagenosis,Perforating Folliculitis,
Langerhan Cell Histiocytosis,"Polymorphous infiltrate with lymphocytes, histiocytes and eosinophils admixed with large cells having kidney shaped nuclei. Large cells may  show significant epidermotropism. Ulceration frequent.  The acute form involves the follicular infundibulum. Cells are positive for CD1a and Langerhin.",Xanthoma Disseminatum,Generalized Eruptive Histiocytosis,Drug Eruption,Arthropod Bite
Large Cell Transformation Of Mycosis Fungoides,"Backgroung of mycosis fungoides. Large cell transformation described when the infiltrate contains  > 25% large cells or if there is a discrete tumor nodule. Large cells have prominent vesicular or hyperchromatic nuclei, abundant cytoplasm. CD30 positivity often marked.",Type B Lymphomatoid Papulosis,Primary Cutaneous CD8 Aggressive Cytotoxic T Cell L ymphoma,NK-T Cell Lymphoma,Pagetoid Reticulosis
Late Lesion Of Incontinentia Pigmenti,"The verrucous stage shows hyperkeratosis, papillated epidermal acanthosis with scattered dyskeratotic cells.  The dermis usually shows a lymphocytic infiltrate, sometimes with eosinophils. Stage 3, which presents as reticulated hyperpigmentation shows pigment incontinence in the dermis with admixed melanophages, with the epidermis now mostly atropihic.",Post Inflammatory Pigment Alteration,Verruca Vulgaris,Lichen Amyloidosis,
Leishmaniasis,"Granulomatous dermatitis with admixed macrophages, lymphocytes, neutrophils and plasma cells. Intracellular organisms with round, basophilic nuclei and rod-like kinetoplast scattered haphazardly and filling the macrophages.",Histoplasma Capsulatum,Rhinoscleroma,Granuloma Inguinale,Trypanasomiasis
Leishmaniasis,"Granulomatous dermatitis with admixed macrophages, lymphocytes, neutrophils and plasma cells. Intracellular organisms with round, basophilic nuclei and rod-like kinetoplast scattered haphazardly and filling the macrophages.",Histoplasma Capsulatum,Rhinoscleroma,Granuloma Inguinale,Trypanasomiasis
Lentigo Maligna Melanoma,"Proliferation of atypical melanocytes at DEJ as confluent proliferation of single cells and nests. Extension along adnexal structures. Pagetoid spread within epidermis throughout the lesion. Eosinophilic stroma displaces solar elastosis. Multinucleated melanocytes with peripheral rim of nuclei(starburst pattern) may be present. Underlying solar elastosis, variable infiltrate of lymphocytes and melanophages.Invasion in dermis in lentigo maligna type.",Squamous Cell Carcinoma,Extramammary Paget's Disease,Dyspasctic Nevus With Severe atypia,
Lentigo Simplex,"Increased number of evenly spaced, somewhat dendritic melanocytes in basal layer of matrix epithelium.",Freckle,Pigmented Actinic Keratosis,Post Inflammatory Pigment Alteration,
Lepra Type 1 Reaction,Upgrading or downgrading of lesions. Upgrading-Dermal edema with increase in inflammatory component-both lymphocytes and giant cells. Downgrading-replacement of lymphocytes and epithelioid cells by collection of macrophages. Increase in the number of bacilli.,Secondary Syphilis,Lyme Disease,Atypical Mycobacterial Infection,
Lepromatous Leprosy,Grenz zone separating a diffuse dermal infiltrate of foamy macrophages from epidermis. Numerous AFB and Fite positive organisms in clusters(Globi).,Sarcoidosis,Granular Cell Tumor,Atypical Mycobacterial Infection,Deep Fungal Infection
Leukocytoclastic Vasculitis,"Perivascular mixed infiltrate with neutrophils, lymphocytes and eosinophils. Nuclear dust and red cell extravasation. Fibrin in vessel walls. DIF-Early lesions show perivascular IgG, IgM and/or C3 deposits.",Urticarial Vasculitis,Sweet's Syndrome,Henoch Schonlein Purpura,
Lichen Aureus,Mild lichenoid and superficial perivascular lymphocytic infiltrate with associated red cell extravasation. Admixed hemosiderin laden macrophages may be seen.,Benign Lichenoid Keratosis,Lichen Planus,Pigmented Purpuric Dermatosis,
Lichen Myxedematosus,"Mild increase in mucin in upper to mid-dermis. Increase in collagen with associated fibroblastic proliferation. Sparse perivascular lymphocytic infiltrate, occasionally with admixed eosinophils.",Scleredema,Nephrogeneic Systemic Fibrosis,Focal Cutaneous Mucinosis,
Lichen Nitidus,Epidermal atrophy with overlying parakeratosis. Well circumscribed aggregate of  lichenoid lymphohistiocytic infiltrate limited to one or two rete ridges surrounded by a collarette formed by rete ridges-'ball in claw'.,Lichen Planus,Lichen Striatus,Benign Lichenoid Keratosis,
Lichen Planopilaris,"Lichenoid lymphocytic inflammation, wedge shaped hypergranulosis, especially in conjunction with follicular infundibula. Dyskeratotic cells within affected infundibula. Interfollicular epidermis mostly spared.",Lupus Associated Alopecia,Syphilitic Alopecia,Pseudopelade,Central Centrifugal Cicatricial Alopecia
Lichen Planus,"Compact hyperkeratosis, wedge shaped hypergranulosis and usually no parakeratosis.
Lichenoid inflammation at DEJ, usually no eosinophils.",Benign Lichenoid Keratosis,Lichenoid Drug Eruption,Secondary Syphilis,
Lichen Planus Involving Nail,"Compact hyperkeratosis, wedge shaped hypergranulosis and usually no parakeratosis.
Lichenoid inflammation at DEJ, usually no eosinophils.",Lichen Simplex Chronicus,Onychomycosis,Graft Versus Host Disease,Psoriasis
Lichen Planus Pemphigoides,"Subepidermal split with changes of lichen planus-hypergranulosis, dense lichenoid infiltrate. Sparse to moderate superficial perivascular and interstitial lymphocytic infiltrate with eosinophils and neutrophils. DIF-Linear IgG along BMZ. ",Lichen Planus,Bullous Pemphigoid,Epidermolysis Bullosa Acquisita,
Lichen Sclerosus,Hyperkeratosis with follicular plugging. Epidermal atrophy. Homogenization of papillary dermis. Perivascular or band like lymphocytic infiltrate in early stages. Loss of elastic fibers in sclerotic zone.,Morphea,Radiation Dermatitis,Subacute Lupus Erythematosus,
Lichen Scrofulosorum,Perifollicular granulomatous inflammation with or without caseation.,Lichen Planus,Benign Lichenoid Keratosis,Sarcoidosis,
Lichen Simplex Chronicus,"Hyperkeratosis, focal parakeratosis overlying acanthotic epidermis. Vertical orientation of collagen bundles in papillary dermis. Perivascular lymphocytic infiltrate.",Psoriasis,Subacute-Chronic Eczematous Dermatitis,Dermatophytosis,
Lichen Spinulosus,Keratin plug over follicular ostia. Dense perifollicular lymphocytic infiltrate.,Keratosis Pilaris,Fox-Fordyce Disease,Infundibulofolliculitis,
Lichen Striatus,Mild spongiosis and acanthosis of epidermis with dyskeratotic cells at all levels of epidermis. Overlying hyperkeratosis and focal parakeratosis. Mild to dense lichenoid inflammation at DEJ with extension of inflammation to deep dermis in a perivascular or perifollicular pattern. Perieccrine inflammation characteristically present.,Lichen Planus,Subacute-Chronic Eczematous Dermatitis,Drug Eruption,Viral Exanthem
Lichenoid Actinic Keratosis,Atypia in lower layers of epidermis associated with a lichenoid infiltrate.,Benign Lichenoid Keratosis,Lentigo Maligna,Lichenoid Regression Of Lentigo Maligna,
Lichenoid Drug Eruption,"Compact hyperkeratosis, wedge shaped hypergranulosis with or without parakeratosis. Lichenoid inflammation at DEJ, usually admixed eosinophils.",Benign Lichenoid Keratosis,Lichen Planus,Fixed Drug Eruption,
Lichenoid Graft Versus Host Disease,Chronic form of GVHD. Satellite cell necrosis. Dyskeratotic keratinocytes. Lichenoid interface dermatitis with lymphocytes and plasma cells.,Lichen Planus,Lichenoid Drug Eruption,Benign Lichenoid Keratosis,
Lichenoid Regression Of Lentigo Maligna,Lichenoid inflammation in a background of sun-damaged skin. Pigment incontinence.,Lichenoid Actinic Keratosis,Benign Lichenoid Keratosis,Post Inflammatory Pigment Alteration,
Linear IgA Bullous Dermatosis,Supepidermal blister formation with papillary dermal edema. Linearly aligned neutrophils along DEJ. Superficial perivascular and interstitial neutrophilic infiltrate with admixed eosinophils and lymphocytes may be seen. DIF- Linear IgA at DEJ.,Dermatitis Herpetiformis,Bullous Lupus Erythematosus,Bullous Pemphigoid,Epidermolysis Bullous Acquisita
Linear Porokeratosis,Cornoid lamella with vertical columns of parakeratosis. Epidermis beneath the cornoid lamella show loss of granular layer and occasional  dyskeratotic cells. Epidermis may also show papillated epidermal hyperplasia.,Actinic Keratosis,Verruca Vulgaris,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,
Lipoatrophy-Lipodystrophy,"Atrophic subcutaneous nodules with small lipocytes, intervening hyalinized connective tissue with increased capillaries; sometimes associated mild inflammation.",Scar,Lipodermatosclerosis,Focal Dermal Hypoplasia,
Lipoblastoma,Lobulated masses of mature fat with rich plexiform capillary network in a variable myxoid stroma. Scattered multivacuolated lipoblasts throughout lesion. Rarely composed of predominance of immature spindle cells.,Well Differentiated Liposarcoma,Atypical Lipomatous Tumor,Lipoma,Hibernoma
Lipodermatosclerosis,Dermal changes of stasis dermatitis. Sclerotic septa with mild to moderate chronic inflammation and siderophages. Fat necrosis with lipomembranous changes.,Morphea Profundus,Lupus Profundus,Erythema Nodosum,Infective Panniculitis
Lipofibroma,Lipoma with a prominent fibrous component.,Acrochordon,Nevus Lipomatosis Superficialis,Lipoma,
Lobomycosis,"Granulomatous dermatitis. Numerous large organisms present in chains(pop-beads), often within histiocytes and multinucleated giant cells.",Cryptococcus,Blastomycosis,Histoplasma Duboisii,Coccidiodomycosis
Lucio Phenomenon,Necrosis and ulceration. Diffuse dermal infiltrate of macrophages with associated vasculitis and vasculopathy.,Leukocytoclastic Vasculitis,Meningococcemia,Mixed Cryoglobulinemia,
Lung Adenocarcinoma,"Glandular elements in dermis with atypia.Staining  with CK7, CEA, TTF1. CK20, CK5/6, Pax8, Thyroglobulin negative.",Breast Adenocarcinoma,Thyroid Carcinoma,Syringoid Eccrine Carcinoma,Metastatic Adnexal Neoplasm
Lupus Associated Alopecia,"Scarring alopecia. Interface vacuolar dermatitis with rare dyskeratotic cells and pigment incontinence. Squamatization of basal layer. Follicular plugging. Concentric lamellar fibroplasia. Loss of sebaceous glands and follicles. Superficial and deep perivascular lymphocytic inflammation. Thickened basement membrane, highlighted by PAS. Increased mucin. Broad dermal loss of elastic fibers. Linear IgG, IgM and C3 along DEJ on IF.",Lichen Planopilaris,Syphilitic Alopecia,Alopecia Areata,Central Centrifugal Cicatricial Alopecia
Lupus Erythematosus,Vacuolar or lichenoid interface dermatitis. Perivascular and periadnexal lymphocytic infiltrate. Increased dermal mucin.,Dermatomyositis,Polymorphous Light Eruption,Viral Exanthem,Reticular Erythematous Mucinosis
Lupus Miliaris  Disseminatus Faciei,Caseating granulomas in dermis with associated superficial perivascular lymphohistiocytic infiltrate. Occasional neutrophils may be seen. Late lesion show associated fibrosis. AFB-negative.,Melkersson-Rosenthal Syndrome,Granulomatous Rosacea,Perioral Dermatitis,Cutaneous Tuberculosis
